100103,100067,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds54 -scn sql -et U,
100104,100067,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100166,100067,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100105,100068,5001,POST,30,il_success_dir gdl/accepted/DS55 il_reject_dir gdl/rejected/DS55,
100106,100068,5017,INIT,10,,
100107,100068,5007,POST,20,,
100108,100068,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds55 -scn sql -et U,
100109,100068,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100167,100068,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100110,100069,5001,POST,30,il_success_dir gdl/accepted/DS56 il_reject_dir gdl/rejected/DS56,
100111,100069,5017,INIT,10,,
100112,100069,5007,POST,20,,
100113,100069,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds56 -scn sql -et U,
100114,100069,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100168,100069,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100115,100070,5001,POST,30,il_success_dir gdl/accepted/DS64 il_reject_dir gdl/rejected/DS64,
100116,100070,5017,INIT,10,,
100117,100070,5007,POST,20,,
100118,100070,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds64 -scn sql -et U,
100119,100070,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100169,100070,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100120,100071,5001,POST,30,il_success_dir gdl/accepted/DS65 il_reject_dir gdl/rejected/DS65,
100121,100071,5017,INIT,10,,
100122,100071,5007,POST,20,,
100123,100071,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds65 -scn sql -et U,
100124,100071,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100170,100071,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100175,100076,5001,POST,30,il_success_dir gdl/accepted/DS23 il_reject_dir gdl/rejected/DS23,
100176,100076,5017,INIT,10,,
100177,100076,5007,POST,20,,
100178,100076,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds23 -scn sql -et U,
100179,100076,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100180,100076,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100181,100077,5001,POST,30,il_success_dir gdl/accepted/DS80 il_reject_dir gdl/rejected/DS80,
100182,100077,5017,INIT,10,,
100183,100077,5007,POST,20,,
100184,100077,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds80 -scn sql -et U,
100185,100077,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100186,100077,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100187,100078,5001,POST,30,il_success_dir gdl/accepted/DS81 il_reject_dir gdl/rejected/DS81,
100188,100078,5017,INIT,10,,
100189,100078,5007,POST,20,,
100190,100078,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds81 -scn sql -et U,
100191,100078,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100192,100078,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100193,100079,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds70 -scn sql -et U,
100194,100079,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100195,100079,5017,INIT,10,,
100196,100079,5007,POST,20,,
100197,100079,5001,POST,30,il_success_dir gdl/accepted/DS70 il_reject_dir gdl/rejected/DS70,
100198,100079,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100200,100080,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds71 -scn sql -et U,
100201,100080,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100202,100080,5017,INIT,10,,
100203,100080,5007,POST,20,,
100204,100080,5001,POST,30,il_success_dir gdl/accepted/DS71 il_reject_dir gdl/rejected/DS71,
100205,100080,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,
100207,100081,5014,POST,10,-iv 100002 -icn sql_ID -tn um.sql_ref -staging_table customer.stg_agg_data_ds72 -scn sql -et U,
100208,100081,5002,EXEC,10,-direct false -parallel false -loadRejectedFiles false,
100209,100081,5017,INIT,10,,
100210,100081,5007,POST,20,,
100211,100081,5001,POST,30,il_success_dir gdl/accepted/DS72 il_reject_dir gdl/rejected/DS72,
100212,100081,5014,POST,40,-iv 100003 -icn sql_id -tn um.sql_ref -scn sql -et U,

